stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
25643,5700071-1,Juurika,58.94830614,23.62789016,25643,,Haapsalu linn,"Ametlik nimi: Võnnu tee",6534416.95,478582.13,Laane1,Lääne MV
162579,7000864-1,Nõmmela,59.16475778,24.63172416,162579,,Kohila vald,,6558638.50,536133.31,,Rapla MV
24417,7800232-1,Keeri,58.32272839,26.50336311,24417,,Nõo vald,"Nõgiaru suunas",6467416.50,646655.50,,Tartu MV
162576,7000865-1,Vindi,59.17206873,24.63567491,162576,,Kohila vald,,6559455.00,536351.56,,Rapla MV
155981,4401153-1,Kassikaku,59.00924571,27.4504645,155981,,Alajõe vald,"Vasknarva suunas",6546243.50,698166.00,,Ida-Viru MV
122420,7820139-1,Lõunakeskus,58.35881504,26.67327622,122420,,Tartu linn,,6471816.65,656444.34,TartuLinn,Tartu LV
26622,5900363-1,Leikude,59.33881868,26.06378195,26622,,Kadrina vald,,6579665.00,617430.68,Viru5,Lääne-Viru MV
162577,7000866-1,Vindi,59.17243245,24.63657021,162577,,Kohila vald,,6559496.00,536402.37,,Rapla MV
32158,5900233-1,Kihlevere,59.38073,26.117952,32158,,Kadrina vald,,6584427.75,620364.59,Viru5,Lääne-Viru MV
24420,7801039-1,Valli,58.30022338,26.4713277,24420,,Nõo vald,"Meeri suunas",6464842.05,644871.94,,Tartu MV
156783,6501057-1,Uulika,58.2337666,27.33671681,156783,,Räpina vald,"Aravu suunas",6459645.50,695933.62,,Põlva MV
130473,7801235-1,Koordi,58.26549912,26.84035324,130473,,Kastre vald,"Villemi suunas",6461834.50,666656.25,,Tartu MV
9566,33704-1,Kotka,59.54100552,25.73676559,9566,,Kuusalu vald,,6601655.00,598244.62,Harju4B,Harjumaa ÜTK
785,00101-1,Kakumäe,59.45913844,24.5731759,785,,Haabersti,,6591401.27,532504.33,Harju1,Tallinna TA
1181,09704-1,Standard,59.44800268,24.7113414,1181,,Põhja-Tallinn,,6590235.78,540352.48,Harju1,Tallinna TA
26737,5900380-1,Liivari,59.39032607,26.1211537,26737,,Kadrina vald,,6585502.00,620512.68,Viru5,Lääne-Viru MV
790,00106-1,Teeotsa,59.45375589,24.58079798,790,,Haabersti,,6590805.37,532941.76,Harju1,Tallinna TA
161304,"",Politsei (perspektiivne),59.394417,27.777153,161304,,Sillamäe linn,,6590092.86,714494.48,,Ida-Viru MV
792,00108-1,Sooranna tee,59.45198095,24.58396721,792,,Haabersti,,6590609.20,533123.23,Harju1,Tallinna TA
134330,6500907-1,Roosimäe,58.05830911,27.06492176,134330,,Põlva vald,"Põlva bussijaama suunas",6439362.30,680877.90,,Põlva MV
794,00124-1,Landi,59.44870712,24.59001154,794,,Haabersti,,6590247.49,533469.27,Harju1,Tallinna TA
795,00110-1,Landi,59.44885072,24.58997753,795,,Haabersti,,6590263.47,533467.20,Harju1,Tallinna TA
796,00111-1,Kakumäe tee,59.44205982,24.59483522,796,,Haabersti,,6589509.39,533749.46,Harju1,Tallinna TA
797,00112-1,Kakumäe tee,59.44291703,24.59407091,797,,Haabersti,,6589604.50,533705.25,Harju1,Tallinna TA
22575,8600342-1,Loosi,57.80189398,27.2221563,22575,,Võru vald,"Loosi kool suunas",6411271.06,691521.56,,Võru MV
161598,6790084-1,Vanausse,58.19378795,25.15583972,161598,,Saarde vald,,6450904.13,567972.83,,Pärnu MV
802,00117-1,Tiskre oja,59.43164414,24.60061903,802,,Harku vald,,6588352.00,534088.00,Harju1,Harjumaa ÜTK
804,00119-1,Jõeküla,59.43609404,24.58117163,804,,Harku vald,,6588838.00,532980.00,Harju1,Harjumaa ÜTK
22807,7800516-1,Meeri,58.28944659,26.47545712,22807,,Nõo vald,"Nõo suunas",6463651.50,645158.18,,Tartu MV
806,00202-1,Paljandi,59.44008608,24.62322672,806,,Haabersti,,6589304.14,535362.32,Harju1,Tallinna TA
807,00203-1,Õismäe raba,59.4372244,24.62729708,807,,Haabersti,,6588987.50,535596.25,Harju1,Tallinna TA
809,00302-1,Pikaliiva,59.42755592,24.62930866,809,,Haabersti,,6587911.50,535720.50,Harju1,Tallinna TA
147653,6720028-1,Valgekodu,58.4025497,24.38533198,147653,,Pärnu linn,"Audru suunas",6473634.60,522528.10,,Pärnu LV
812,00305-1,Tanuma,59.42787239,24.63317571,812,,Haabersti,,6587948.82,535939.66,Harju1,Tallinna TA
816,00309-1,Zoo,59.42642984,24.65804876,816,,Haabersti,,6587801.71,537353.01,Harju1,Tallinna TA
119455,7800164-1,Järveotsa,58.31835939,26.61947125,119455,,Kambja vald,"Lennujaama suunas",6467190.00,653473.12,,Tartu MV
11055,41011-1,Tehase tee,59.36952987,25.15242986,11055,,Raasiku vald,,6581842.50,565522.43,Harju3,Harjumaa ÜTK
823,00801-1,Karikakra,59.41683645,24.65256163,823,,Haabersti,,6586729.97,537051.95,Harju1,Tallinna TA
825,00901-1,Sinilille,59.41944736,24.64543854,825,,Haabersti,,6587016.91,536644.72,Harju1,Tallinna TA
826,00911-1,Sinilille,59.41944096,24.64590079,826,,Haabersti,,6587016.45,536670.97,Harju1,Tallinna TA
31192,7800064-1,Aruvälja,58.45733492,26.40247638,31192,,Tartu vald,"Tartu suunas",6482183.00,640210.93,,Tartu MV
828,00903-1,Sinilille,59.42042573,24.64477886,828,,Haabersti,,6587125.54,536606.22,Harju1,Tallinna TA
830,01001-1,Meelespea,59.41562616,24.63971771,830,,Haabersti,,6586588.12,536323.99,Harju1,Tallinna TA
831,01002-1,Meelespea,59.41647756,24.63963519,831,,Haabersti,,6586682.92,536318.40,Harju1,Tallinna TA
833,01102-1,Rukkilille,59.41378273,24.64026614,833,,Haabersti,,6586383.06,536357.09,Harju1,Tallinna TA
